SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Nya Englands Patrioter,5,1,0,612
Gröna Dalens Vildhästar,3,3,0,579
Gooberville Sea Lions,3,3,0,564
Danderyd Dragons,3,3,0,557
Solna Big Moose,1,5,0,435
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Hjorthagen Highlanders,5,1,0,542
Lindesberg Latecomers,4,2,0,544
Saltis 73'ers,3,3,0,564
Bagarmossen Barbarians,2,4,0,582
Vendelso Villains,1,5,0,505
PERIOD 7: 10/17/17 - 10/23/17 MATCHUPS,@,RESULTS,,
Bagarmossen Barbarians (L),Lindesberg Latecomers (W),48.0 - 105.0,,
Saltis 73'ers (W),Vendelso Villains (L),107.0 - 103.0,,
Gröna Dalens Vildhästar (L),Gooberville Sea Lions (W),90.0 - 110.0,,
Nya Englands Patrioter (W),Solna Big Moose (L),131.0 - 48.0,,
Danderyd Dragons (W),Hjorthagen Highlanders (L),105.0 - 103.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Nya Englands Patrioter,6,1,0,743
Gooberville Sea Lions,4,3,0,674
Danderyd Dragons,4,3,0,662
Gröna Dalens Vildhästar,3,4,0,669
Solna Big Moose,1,6,0,483
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Lindesberg Latecomers,5,2,0,649
Hjorthagen Highlanders,5,2,0,645
Saltis 73'ers,4,3,0,671
Bagarmossen Barbarians,2,5,0,630
Vendelso Villains,1,6,0,608
PERIOD 8: 10/24/17 - 10/30/17 MATCHUPS,@,RESULTS,,
Gröna Dalens Vildhästar (W),Bagarmossen Barbarians (L),98.0 - 71.0,,
Vendelso Villains (L),Danderyd Dragons (W),90.0 - 100.0,,
Gooberville Sea Lions (L),Lindesberg Latecomers (W),57.0 - 77.0,,
Saltis 73'ers (W),Solna Big Moose (L),124.0 - 74.0,,
Nya Englands Patrioter (W),Hjorthagen Highlanders (L),104.0 - 103.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Nya Englands Patrioter,7,1,0,847
Danderyd Dragons,5,3,0,762
Gröna Dalens Vildhästar,4,4,0,767
Gooberville Sea Lions,4,4,0,731
Solna Big Moose,1,7,0,557
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Lindesberg Latecomers,6,2,0,726
Saltis 73'ers,5,3,0,795
Hjorthagen Highlanders,5,3,0,748
Bagarmossen Barbarians,2,6,0,701
Vendelso Villains,1,7,0,698
PERIOD 9: 10/31/17 - 11/6/17 MATCHUPS,@,RESULTS,,
Bagarmossen Barbarians (W),Solna Big Moose (L),78.0 - 75.0,,
Nya Englands Patrioter (W),Gooberville Sea Lions (L),109.0 - 87.0,,
Danderyd Dragons (L),Lindesberg Latecomers (W),66.0 - 100.0,,
Hjorthagen Highlanders (W),Gröna Dalens Vildhästar (L),110.0 - 75.0,,
Vendelso Villains (L),Saltis 73'ers (W),100.0 - 102.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Nya Englands Patrioter,8,1,0,956
Danderyd Dragons,5,4,0,828
Gröna Dalens Vildhästar,4,5,0,842
Gooberville Sea Lions,4,5,0,818
Solna Big Moose,1,8,0,632
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Lindesberg Latecomers,7,2,0,826
Saltis 73'ers,6,3,0,897
Hjorthagen Highlanders,6,3,0,858
Bagarmossen Barbarians,3,6,0,779
Vendelso Villains,1,8,0,798
PERIOD 10: 11/7/17 - 11/13/17 MATCHUPS,@,RESULTS,,
Saltis 73'ers (W),Bagarmossen Barbarians (L),127.0 - 59.0,,
Vendelso Villains (W),Hjorthagen Highlanders (L),91.0 - 80.0,,
Danderyd Dragons (L),Gooberville Sea Lions (W),59.0 - 63.0,,
Gröna Dalens Vildhästar (L),Solna Big Moose (W),78.0 - 94.0,,
Nya Englands Patrioter (L),Lindesberg Latecomers (W),97.0 - 112.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Nya Englands Patrioter,8,2,0,1053
Danderyd Dragons,5,5,0,887
Gooberville Sea Lions,5,5,0,881
Gröna Dalens Vildhästar,4,6,0,920
Solna Big Moose,2,8,0,726
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Lindesberg Latecomers,8,2,0,938
Saltis 73'ers,7,3,0,1024
Hjorthagen Highlanders,6,4,0,938
Bagarmossen Barbarians,3,7,0,838
Vendelso Villains,2,8,0,889
PERIOD 11: 11/14/17 - 11/20/17 MATCHUPS,@,RESULTS,,
Bagarmossen Barbarians (L),Hjorthagen Highlanders (W),51.0 - 102.0,,
Nya Englands Patrioter (L),Saltis 73'ers (W),89.0 - 117.0,,
Gröna Dalens Vildhästar (W),Danderyd Dragons (L),100.0 - 52.0,,
Vendelso Villains (L),Lindesberg Latecomers (W),124.0 - 133.0,,
Solna Big Moose (W),Gooberville Sea Lions (L),73.0 - 72.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Nya Englands Patrioter,8,3,0,1142
Gröna Dalens Vildhästar,5,6,0,1020
Gooberville Sea Lions,5,6,0,953
Danderyd Dragons,5,6,0,939
Solna Big Moose,3,8,0,799
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Lindesberg Latecomers,9,2,0,1071
Saltis 73'ers,8,3,0,1141
Hjorthagen Highlanders,7,4,0,1040
Bagarmossen Barbarians,3,8,0,889
Vendelso Villains,2,9,0,1013
PERIOD 12: 11/21/17 - 11/27/17 MATCHUPS,@,RESULTS,,
Lindesberg Latecomers (L),Bagarmossen Barbarians (W),66.0 - 113.0,,
Solna Big Moose (L),Danderyd Dragons (W),90.0 - 95.0,,
Gröna Dalens Vildhästar (L),Nya Englands Patrioter (W),115.0 - 180.0,,
Gooberville Sea Lions (L),Vendelso Villains (W),60.0 - 61.0,,
Saltis 73'ers (W),Hjorthagen Highlanders (L),103.0 - 93.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Nya Englands Patrioter,9,3,0,1322
Danderyd Dragons,6,6,0,1034
